Task ID,Storage Interval,Operator ID,Message Length (secs),Start Time,Stop Time,Threshold Method,Duration,Station Name,All Single Channels,Location (lat),Location (lon),Antenna,Polarization
836,15 secs,HP-PC,15,8/12/2016 10:31,8/12/2016 10:36,Noise Riding 10 dB,Fixed: 5 mins,AR1 PATHUM THANI,No,14.070668,100.63418,Vertical Ref,Vertical
,,,,,,,,,,,,,
Band #,Start Frequency (MHz),Stop Frequency (MHz),Bandwidth (kHz),,,,,,,,,,
1,136,174,12.5,,,,,,,,,,
,,,,,,,,,,,,,
Channel No.,Frequency (MHz),Maximum Occupancy (%),Average Occupancy (%),,,,,,,,,,
317,139.95,0,0,,,,,,,,,,
318,139.9625,0,0,,,,,,,,,,
319,139.975,0,0,,,,,,,,,,
320,139.9875,0,0,,,,,,,,,,
321,140,0,0,,,,,,,,,,
322,140.0125,0,0,,,,,,,,,,
323,140.025,0,0,,,,,,,,,,
324,140.0375,0,0,,,,,,,,,,
325,140.05,0,0,,,,,,,,,,
326,140.0625,0,0,,,,,,,,,,
327,140.075,0,0,,,,,,,,,,
328,140.0875,0,0,,,,,,,,,,
329,140.1,0,0,,,,,,,,,,
330,140.1125,0,0,,,,,,,,,,
331,140.125,0,0,,,,,,,,,,
332,140.1375,0,0,,,,,,,,,,
333,140.15,0,0,,,,,,,,,,
334,140.1625,0,0,,,,,,,,,,
335,140.175,0,0,,,,,,,,,,
336,140.1875,0,0,,,,,,,,,,
337,140.2,0,0,,,,,,,,,,
338,140.2125,0,0,,,,,,,,,,
339,140.225,0,0,,,,,,,,,,
340,140.2375,0,0,,,,,,,,,,
341,140.25,0,0,,,,,,,,,,
342,140.2625,0,0,,,,,,,,,,
343,140.275,0,0,,,,,,,,,,
344,140.2875,0,0,,,,,,,,,,
345,140.3,2,0,,,,,,,,,,
346,140.3125,1,0,,,,,,,,,,
347,140.325,1,0,,,,,,,,,,
348,140.3375,1,0,,,,,,,,,,
349,140.35,1,0,,,,,,,,,,
350,140.3625,1,0,,,,,,,,,,
351,140.375,1,0,,,,,,,,,,
352,140.3875,0,0,,,,,,,,,,
353,140.4,1,0,,,,,,,,,,
354,140.4125,0,0,,,,,,,,,,
355,140.425,0,0,,,,,,,,,,
356,140.4375,0,0,,,,,,,,,,
357,140.45,0,0,,,,,,,,,,
358,140.4625,0,0,,,,,,,,,,
359,140.475,0,0,,,,,,,,,,
360,140.4875,0,0,,,,,,,,,,
361,140.5,0,0,,,,,,,,,,
362,140.5125,0,0,,,,,,,,,,
363,140.525,0,0,,,,,,,,,,
364,140.5375,0,0,,,,,,,,,,
365,140.55,7,1,,,,,,,,,,
366,140.5625,6,1,,,,,,,,,,
367,140.575,0,0,,,,,,,,,,
368,140.5875,0,0,,,,,,,,,,
369,140.6,0,0,,,,,,,,,,
370,140.6125,0,0,,,,,,,,,,
371,140.625,0,0,,,,,,,,,,
372,140.6375,0,0,,,,,,,,,,
373,140.65,0,0,,,,,,,,,,
374,140.6625,0,0,,,,,,,,,,
375,140.675,0,0,,,,,,,,,,
376,140.6875,0,0,,,,,,,,,,
377,140.7,0,0,,,,,,,,,,
378,140.7125,0,0,,,,,,,,,,
379,140.725,0,0,,,,,,,,,,
380,140.7375,0,0,,,,,,,,,,
381,140.75,0,0,,,,,,,,,,
382,140.7625,0,0,,,,,,,,,,
383,140.775,0,0,,,,,,,,,,
384,140.7875,0,0,,,,,,,,,,
385,140.8,0,0,,,,,,,,,,
386,140.8125,0,0,,,,,,,,,,
387,140.825,0,0,,,,,,,,,,
388,140.8375,0,0,,,,,,,,,,
389,140.85,0,0,,,,,,,,,,
390,140.8625,0,0,,,,,,,,,,
391,140.875,0,0,,,,,,,,,,
392,140.8875,0,0,,,,,,,,,,
393,140.9,0,0,,,,,,,,,,
394,140.9125,0,0,,,,,,,,,,
395,140.925,0,0,,,,,,,,,,
396,140.9375,0,0,,,,,,,,,,
397,140.95,0,0,,,,,,,,,,
398,140.9625,0,0,,,,,,,,,,
399,140.975,0,0,,,,,,,,,,
400,140.9875,0,0,,,,,,,,,,
401,141,3,0,,,,,,,,,,
402,141.0125,0,0,,,,,,,,,,
403,141.025,0,0,,,,,,,,,,
404,141.0375,0,0,,,,,,,,,,
405,141.05,0,0,,,,,,,,,,
406,141.0625,0,0,,,,,,,,,,
407,141.075,0,0,,,,,,,,,,
408,141.0875,0,0,,,,,,,,,,
409,141.1,0,0,,,,,,,,,,
410,141.1125,0,0,,,,,,,,,,
411,141.125,0,0,,,,,,,,,,
412,141.1375,0,0,,,,,,,,,,
413,141.15,0,0,,,,,,,,,,
414,141.1625,0,0,,,,,,,,,,
415,141.175,0,0,,,,,,,,,,
416,141.1875,0,0,,,,,,,,,,
417,141.2,0,0,,,,,,,,,,
418,141.2125,0,0,,,,,,,,,,
419,141.225,0,0,,,,,,,,,,
420,141.2375,0,0,,,,,,,,,,
421,141.25,0,0,,,,,,,,,,
422,141.2625,0,0,,,,,,,,,,
423,141.275,0,0,,,,,,,,,,
424,141.2875,0,0,,,,,,,,,,
425,141.3,0,0,,,,,,,,,,
426,141.3125,0,0,,,,,,,,,,
427,141.325,0,0,,,,,,,,,,
428,141.3375,0,0,,,,,,,,,,
429,141.35,0,0,,,,,,,,,,
430,141.3625,0,0,,,,,,,,,,
431,141.375,0,0,,,,,,,,,,
432,141.3875,0,0,,,,,,,,,,
433,141.4,0,0,,,,,,,,,,
434,141.4125,0,0,,,,,,,,,,
435,141.425,0,0,,,,,,,,,,
436,141.4375,0,0,,,,,,,,,,
437,141.45,0,0,,,,,,,,,,
438,141.4625,0,0,,,,,,,,,,
439,141.475,0,0,,,,,,,,,,
440,141.4875,0,0,,,,,,,,,,
441,141.5,0,0,,,,,,,,,,
442,141.5125,0,0,,,,,,,,,,
443,141.525,0,0,,,,,,,,,,
444,141.5375,0,0,,,,,,,,,,
445,141.55,0,0,,,,,,,,,,
446,141.5625,0,0,,,,,,,,,,
447,141.575,0,0,,,,,,,,,,
448,141.5875,0,0,,,,,,,,,,
449,141.6,0,0,,,,,,,,,,
450,141.6125,0,0,,,,,,,,,,
451,141.625,0,0,,,,,,,,,,
452,141.6375,0,0,,,,,,,,,,
453,141.65,0,0,,,,,,,,,,
454,141.6625,0,0,,,,,,,,,,
455,141.675,0,0,,,,,,,,,,
456,141.6875,0,0,,,,,,,,,,
457,141.7,0,0,,,,,,,,,,
458,141.7125,0,0,,,,,,,,,,
459,141.725,0,0,,,,,,,,,,
460,141.7375,0,0,,,,,,,,,,
461,141.75,0,0,,,,,,,,,,
462,141.7625,0,0,,,,,,,,,,
463,141.775,0,0,,,,,,,,,,
464,141.7875,0,0,,,,,,,,,,
465,141.8,0,0,,,,,,,,,,
466,141.8125,0,0,,,,,,,,,,
467,141.825,0,0,,,,,,,,,,
468,141.8375,0,0,,,,,,,,,,
469,141.85,0,0,,,,,,,,,,
470,141.8625,0,0,,,,,,,,,,
471,141.875,66,4,,,,,,,,,,
472,141.8875,0,0,,,,,,,,,,
473,141.9,0,0,,,,,,,,,,
474,141.9125,0,0,,,,,,,,,,
475,141.925,0,0,,,,,,,,,,
476,141.9375,0,0,,,,,,,,,,
477,141.95,0,0,,,,,,,,,,
478,141.9625,0,0,,,,,,,,,,
479,141.975,26,3,,,,,,,,,,
480,141.9875,0,0,,,,,,,,,,
481,142,0,0,,,,,,,,,,
482,142.0125,0,0,,,,,,,,,,
483,142.025,0,0,,,,,,,,,,
484,142.0375,0,0,,,,,,,,,,
485,142.05,0,0,,,,,,,,,,
486,142.0625,0,0,,,,,,,,,,
487,142.075,0,0,,,,,,,,,,
488,142.0875,0,0,,,,,,,,,,
489,142.1,0,0,,,,,,,,,,
490,142.1125,0,0,,,,,,,,,,
491,142.125,0,0,,,,,,,,,,
492,142.1375,0,0,,,,,,,,,,
493,142.15,0,0,,,,,,,,,,
494,142.1625,0,0,,,,,,,,,,
495,142.175,0,0,,,,,,,,,,
496,142.1875,0,0,,,,,,,,,,
497,142.2,0,0,,,,,,,,,,
498,142.2125,0,0,,,,,,,,,,
499,142.225,0,0,,,,,,,,,,
500,142.2375,0,0,,,,,,,,,,
501,142.25,0,0,,,,,,,,,,
502,142.2625,0,0,,,,,,,,,,
503,142.275,0,0,,,,,,,,,,
504,142.2875,0,0,,,,,,,,,,
505,142.3,0,0,,,,,,,,,,
506,142.3125,0,0,,,,,,,,,,
507,142.325,0,0,,,,,,,,,,
508,142.3375,0,0,,,,,,,,,,
509,142.35,14,1,,,,,,,,,,
510,142.3625,0,0,,,,,,,,,,
511,142.375,0,0,,,,,,,,,,
512,142.3875,0,0,,,,,,,,,,
513,142.4,0,0,,,,,,,,,,
514,142.4125,0,0,,,,,,,,,,
515,142.425,0,0,,,,,,,,,,
516,142.4375,0,0,,,,,,,,,,
517,142.45,0,0,,,,,,,,,,
518,142.4625,0,0,,,,,,,,,,
519,142.475,0,0,,,,,,,,,,
520,142.4875,0,0,,,,,,,,,,
521,142.5,0,0,,,,,,,,,,
522,142.5125,0,0,,,,,,,,,,
523,142.525,5,0,,,,,,,,,,
524,142.5375,0,0,,,,,,,,,,
525,142.55,0,0,,,,,,,,,,
526,142.5625,0,0,,,,,,,,,,
527,142.575,0,0,,,,,,,,,,
528,142.5875,0,0,,,,,,,,,,
529,142.6,0,0,,,,,,,,,,
530,142.6125,0,0,,,,,,,,,,
531,142.625,0,0,,,,,,,,,,
532,142.6375,0,0,,,,,,,,,,
533,142.65,0,0,,,,,,,,,,
534,142.6625,0,0,,,,,,,,,,
535,142.675,0,0,,,,,,,,,,
536,142.6875,0,0,,,,,,,,,,
537,142.7,0,0,,,,,,,,,,
538,142.7125,0,0,,,,,,,,,,
539,142.725,0,0,,,,,,,,,,
540,142.7375,0,0,,,,,,,,,,
541,142.75,0,0,,,,,,,,,,
542,142.7625,0,0,,,,,,,,,,
543,142.775,0,0,,,,,,,,,,
