100202381,-107.1796036, 
100203968.3,-105.4576492, 
100205555.6,-102.9133148, 
100207142.9,-105.555191, 
100208730.2,-104.5019226, 
100210317.5,-99.80430603, 
100211904.8,-102.3902969, 
100213492.1,-108.1907959, 
100215079.4,-103.7616653, 
100216666.7,-100.3949585, 
100218254,-101.3428192, 
100219841.3,-99.78921509, 
100221428.6,-102.1821136, 
100223015.9,-105.3566208, 
100224603.2,-97.94044495, 
100226190.5,-97.1711731, 
100227777.8,-97.6126709, 
100229365.1,-96.11974335, 
100230952.4,-98.89031982, 
100232539.7,-99.78170776, 
100234127,-96.62081146, 
100235714.3,-97.48512268, 
100237301.6,-96.69309998, 
100238888.9,-96.9376297, 
100240476.2,-98.62015533, 
100242063.5,-97.70019531, 
100243650.8,-100.8377075, 
100245238.1,-108.6073227, 
100246825.4,-97.67403412, 
100248412.7,-97.90339661, 
100250000,-97.99598694, 
